Spectrum Export
Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
0.2001,22.1683,,0.2001,361.9641,,0.2001,9.9403,,0.2001,34.8413,,0.2001,32.9615,,0.2001,408.0759,,0.2001,91.3817,,0.2001,98.4857,,0.2001,10.6689,,0.2001,449.4470,,0.2001,36.8547,,0.2001,449.4470,,0.2001,29.8556,,0.2001,191.7603,,0.2001,48.0135,,0.2001,52.9802,,0.2001,27.6184,,0.2001,8.5044,,0.2001,30.1650,,0.2001,402.7473,,0.2001,68.4773,,0.2001,6.7016,,0.2001,8.4958,,0.2001,27.1502,,0.2001,10.9998,,0.2001,18.7569,,
0.3002,30.8437,,0.3002,216.0336,,0.3002,11.4104,,0.3002,41.7959,,0.3002,38.1882,,0.3002,429.7072,,0.3002,105.2763,,0.3002,194.0060,,0.3002,18.6821,,0.3002,235.9278,,0.3002,26.5203,,0.3002,235.9278,,0.3002,49.8050,,0.3002,282.8334,,0.3002,58.2489,,0.3002,57.2519,,0.3002,16.6044,,0.3002,5.4654,,0.3002,38.7059,,0.3002,261.0755,,0.3002,51.5119,,0.3002,86.7344,,0.3002,17.2404,,0.3002,29.1705,,0.3002,18.8551,,0.3002,31.5322,,
0.4002,15.7239,,0.4002,148.3738,,0.4002,19.8722,,0.4002,30.7042,,0.4002,43.4749,,0.4002,625.6489,,0.4002,22.3436,,0.4002,128.2344,,0.4002,22.3685,,0.4002,201.3990,,0.4002,91.1167,,0.4002,201.3990,,0.4002,24.3477,,0.4002,339.2400,,0.4002,103.0231,,0.4002,70.8633,,0.4002,19.4471,,0.4002,15.3623,,0.4002,24.8933,,0.4002,768.3994,,0.4002,58.3435,,0.4002,123.9461,,0.4002,6.8023,,0.4002,16.0652,,0.4002,30.4553,,0.4002,77.2166,,
0.5003,15.7860,,0.5003,127.6924,,0.5003,25.3424,,0.5003,11.8051,,0.5003,26.2946,,0.5003,799.0073,,0.5003,76.8851,,0.5003,49.8915,,0.5003,20.3635,,0.5003,176.1900,,0.5003,145.8383,,0.5003,176.1900,,0.5003,54.6589,,0.5003,1163.9200,,0.5003,73.4934,,0.5003,110.4534,,0.5003,10.6078,,0.5003,26.9043,,0.5003,18.2613,,0.5003,146.6391,,0.5003,95.9006,,0.5003,92.7027,,0.5003,15.1395,,0.5003,13.6322,,0.5003,27.2471,,0.5003,183.5740,,
0.6004,26.9328,,0.6004,163.5441,,0.6004,27.3101,,0.6004,42.3447,,0.6004,21.9428,,0.6004,1132.8000,,0.6004,36.0712,,0.6004,64.1424,,0.6004,18.7832,,0.6004,150.2533,,0.6004,112.5775,,0.6004,150.2533,,0.6004,43.1709,,0.6004,1128.7260,,0.6004,15.9954,,0.6004,105.0909,,0.6004,13.7205,,0.6004,49.7928,,0.6004,3.9441,,0.6004,428.4446,,0.6004,101.8336,,0.6004,58.4364,,0.6004,15.6271,,0.6004,5.4190,,0.6004,25.5530,,0.6004,142.5424,,
0.7004,20.9161,,0.7004,35.2950,,0.7004,27.4187,,0.7004,53.8009,,0.7004,26.2841,,0.7004,885.7642,,0.7004,15.3263,,0.7004,88.6097,,0.7004,8.0463,,0.7004,50.1340,,0.7004,50.0494,,0.7004,50.1340,,0.7004,54.2768,,0.7004,799.6118,,0.7004,29.0750,,0.7004,78.2965,,0.7004,10.6426,,0.7004,10.3991,,0.7004,7.7125,,0.7004,350.5032,,0.7004,54.1182,,0.7004,13.4362,,0.7004,6.3181,,0.7004,15.5456,,0.7004,43.1386,,0.7004,25.1546,,
0.8005,8.7005,,0.8005,52.1920,,0.8005,15.0899,,0.8005,6.9461,,0.8005,21.0526,,0.8005,429.5895,,0.8005,8.4037,,0.8005,139.1098,,0.8005,13.8318,,0.8005,99.5158,,0.8005,69.6749,,0.8005,99.5158,,0.8005,48.7701,,0.8005,1394.9070,,0.8005,50.0323,,0.8005,52.7513,,0.8005,22.6843,,0.8005,15.2958,,0.8005,15.9520,,0.8005,209.7460,,0.8005,23.8900,,0.8005,78.1188,,0.8005,21.6142,,0.8005,15.1665,,0.8005,58.6706,,0.8005,217.2739,,
0.9005,11.5378,,0.9005,148.0482,,0.9005,8.5447,,0.9005,43.2842,,0.9005,13.3444,,0.9005,284.6693,,0.9005,61.6313,,0.9005,168.4093,,0.9005,22.6480,,0.9005,154.2491,,0.9005,148.3840,,0.9005,154.2491,,0.9005,20.0997,,0.9005,1467.6270,,0.9005,14.4051,,0.9005,103.5833,,0.9005,24.1144,,0.9005,13.1063,,0.9005,38.3654,,0.9005,602.0718,,0.9005,35.3719,,0.9005,102.0212,,0.9005,26.3216,,0.9005,20.5097,,0.9005,57.4830,,0.9005,336.6887,,
