Red ROI - X,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
1.0006,63.3106,,1.0006,26.7613,,1.0006,50.1330,,1.0006,20.3154,,1.0006,199.0771,,1.0006,15.8293,,1.0006,47.0231,,1.0006,22.4064,,1.0006,80.9275,,1.0006,8.7417,,1.0006,1285.9150,,1.0006,8.7417,,1.0006,1285.9150,,1.0006,68.5128,,1.0006,164.3529,,1.0006,14.9022,,1.0006,43.9093,,1.0006,7.7837,,1.0006,1294.4750,,1.0006,25.0851,,1.0006,115.6746,,1.0006,27.7721,,1.0006,23.9734,,1.0006,43.5421,,1.0006,126.4892,,
1.1007,59.4246,,1.1007,22.1212,,1.1007,32.2760,,1.1007,24.7161,,1.1007,290.9305,,1.1007,22.8174,,1.1007,36.4103,,1.1007,18.2244,,1.1007,87.2844,,1.1007,42.1743,,1.1007,1678.3980,,1.1007,42.1743,,1.1007,1678.3980,,1.1007,104.3953,,1.1007,219.8767,,1.1007,12.7593,,1.1007,19.5190,,1.1007,25.2344,,1.1007,899.9142,,1.1007,26.8239,,1.1007,70.8826,,1.1007,29.3842,,1.1007,10.3527,,1.1007,41.2438,,1.1007,116.3039,,
1.2007,28.5009,,1.2007,20.5325,,1.2007,33.4233,,1.2007,35.4253,,1.2007,279.6822,,1.2007,20.1536,,1.2007,81.9134,,1.2007,24.4094,,1.2007,50.3515,,1.2007,55.3726,,1.2007,2466.7500,,1.2007,55.3726,,1.2007,2466.7500,,1.2007,75.3304,,1.2007,92.1700,,1.2007,32.1421,,1.2007,43.4386,,1.2007,38.4927,,1.2007,172.8510,,1.2007,23.4600,,1.2007,57.6091,,1.2007,43.3831,,1.2007,12.4025,,1.2007,44.8674,,1.2007,101.0295,,
1.3008,104.1822,,1.3008,26.0973,,1.3008,48.3061,,1.3008,44.2886,,1.3008,290.2378,,1.3008,14.3675,,1.3008,61.1498,,1.3008,18.9946,,1.3008,75.5067,,1.3008,46.2166,,1.3008,1831.9820,,1.3008,46.2166,,1.3008,1831.9820,,1.3008,9.6094,,1.3008,107.7668,,1.3008,31.4829,,1.3008,41.0755,,1.3008,43.0469,,1.3008,88.8968,,1.3008,18.4653,,1.3008,30.0210,,1.3008,35.2676,,1.3008,26.0007,,1.3008,51.5065,,1.3008,327.0619,,
1.4008,61.0468,,1.4008,26.3522,,1.4008,53.9811,,1.4008,23.7801,,1.4008,346.6009,,1.4008,35.6696,,1.4008,21.5938,,1.4008,18.0713,,1.4008,45.5255,,1.4008,23.1659,,1.4008,397.7116,,1.4008,23.1659,,1.4008,397.7116,,1.4008,37.1231,,1.4008,154.3879,,1.4008,6.3470,,1.4008,6.6275,,1.4008,35.4023,,1.4008,1133.6670,,1.4008,30.9592,,1.4008,32.8081,,1.4008,19.5128,,1.4008,14.2624,,1.4008,78.8621,,1.4008,283.2332,,
1.5009,42.0509,,1.5009,21.0660,,1.5009,49.6603,,1.5009,15.3379,,1.5009,384.1709,,1.5009,28.1382,,1.5009,48.8229,,1.5009,26.7349,,1.5009,51.6154,,1.5009,13.8050,,1.5009,215.6265,,1.5009,13.8050,,1.5009,215.6265,,1.5009,35.0056,,1.5009,117.4348,,1.5009,22.5419,,1.5009,32.3980,,1.5009,29.2438,,1.5009,1339.8230,,1.5009,35.0424,,1.5009,44.8402,,1.5009,28.9909,,1.5009,25.2039,,1.5009,65.4049,,1.5009,133.5187,,
1.6009,24.5784,,1.6009,3.3755,,1.6009,56.3291,,1.6009,26.8104,,1.6009,177.6428,,1.6009,47.9609,,1.6009,70.5290,,1.6009,36.5975,,1.6009,49.6656,,1.6009,16.6545,,1.6009,529.9547,,1.6009,16.6545,,1.6009,529.9547,,1.6009,74.1284,,1.6009,257.4803,,1.6009,23.8482,,1.6009,45.8583,,1.6009,28.8803,,1.6009,709.2354,,1.6009,16.0518,,1.6009,51.7053,,1.6009,24.1298,,1.6009,20.8111,,1.6009,21.4461,,1.6009,38.4686,,
1.7010,56.7978,,1.7010,11.8826,,1.7010,39.6931,,1.7010,23.7015,,1.7010,150.5038,,1.7010,20.9130,,1.7010,96.5462,,1.7010,24.0155,,1.7010,48.9606,,1.7010,6.0764,,1.7010,381.3887,,1.7010,6.0764,,1.7010,381.3887,,1.7010,121.9708,,1.7010,238.1847,,1.7010,16.7860,,1.7010,38.9744,,1.7010,19.4793,,1.7010,581.8884,,1.7010,43.0922,,1.7010,71.6885,,1.7010,7.7358,,1.7010,25.1184,,1.7010,12.6441,,1.7010,143.9513,,
1.8011,13.9535,,1.8011,17.5894,,1.8011,46.1167,,1.8011,19.7169,,1.8011,142.1826,,1.8011,33.6953,,1.8011,70.7129,,1.8011,14.2489,,1.8011,31.1901,,1.8011,3.8269,,1.8011,654.1058,,1.8011,3.8269,,1.8011,654.1058,,1.8011,57.0557,,1.8011,88.4803,,1.8011,8.6100,,1.8011,44.2376,,1.8011,9.7243,,1.8011,233.4057,,1.8011,19.3729,,1.8011,88.6508,,1.8011,5.0295,,1.8011,47.3135,,1.8011,27.5043,,1.8011,204.3369,,
1.9011,55.9118,,1.9011,22.9670,,1.9011,24.0602,,1.9011,35.4319,,1.9011,76.6225,,1.9011,78.2712,,1.9011,39.3524,,1.9011,15.4222,,1.9011,42.7796,,1.9011,5.2996,,1.9011,472.1548,,1.9011,5.2996,,1.9011,472.1548,,1.9011,40.3692,,1.9011,54.6960,,1.9011,7.8603,,1.9011,53.7523,,1.9011,34.2829,,1.9011,602.5004,,1.9011,16.3100,,1.9011,66.4540,,1.9011,16.4614,,1.9011,38.6784,,1.9011,22.2602,,1.9011,102.1034,,
