Spectrum Export
Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
0.2001,168.5102,,0.2001,134.8572,,0.2001,20.2507,,0.2001,15.4900,,0.2001,25.6428,,0.2001,120.5319,,0.2001,55.8573,,0.2001,232.4341,,0.2001,16.1689,,0.2001,232.4341,,0.2001,31.4530,,0.2001,550.8554,,0.2001,31.4530,,0.2001,550.8554,,0.2001,40.0514,,0.2001,68.8897,,0.2001,18.0346,,0.2001,72.6116,,0.2001,34.9413,,0.2001,193.7428,,0.2001,32.4547,,0.2001,52.7157,,0.2001,24.9514,,0.2001,32.8082,,0.2001,44.1776,,0.2001,67.2354,,
0.3002,60.4338,,0.3002,129.3413,,0.3002,13.0767,,0.3002,64.7863,,0.3002,25.3979,,0.3002,120.1385,,0.3002,17.9156,,0.3002,236.8787,,0.3002,36.1669,,0.3002,236.8787,,0.3002,19.8224,,0.3002,478.1683,,0.3002,19.8224,,0.3002,478.1683,,0.3002,50.9378,,0.3002,53.8439,,0.3002,20.8987,,0.3002,75.4775,,0.3002,43.7380,,0.3002,226.1064,,0.3002,44.2391,,0.3002,71.4392,,0.3002,7.8043,,0.3002,13.5417,,0.3002,35.9939,,0.3002,122.3043,,
0.4002,34.3189,,0.4002,93.6847,,0.4002,3.7124,,0.4002,51.9307,,0.4002,20.6683,,0.4002,123.2240,,0.4002,12.1211,,0.4002,144.9396,,0.4002,19.3966,,0.4002,144.9396,,0.4002,36.9965,,0.4002,405.5311,,0.4002,36.9965,,0.4002,405.5311,,0.4002,10.5087,,0.4002,90.6835,,0.4002,16.9739,,0.4002,25.9261,,0.4002,36.3289,,0.4002,258.2526,,0.4002,44.9864,,0.4002,30.9054,,0.4002,16.8058,,0.4002,28.5362,,0.4002,41.9765,,0.4002,56.6828,,
0.5003,79.0271,,0.5003,109.6610,,0.5003,6.2093,,0.5003,13.9283,,0.5003,31.1525,,0.5003,149.8970,,0.5003,28.1365,,0.5003,34.0981,,0.5003,10.9718,,0.5003,34.0981,,0.5003,47.0808,,0.5003,555.4846,,0.5003,47.0808,,0.5003,555.4846,,0.5003,65.8497,,0.5003,93.1028,,0.5003,24.8145,,0.5003,34.9309,,0.5003,48.5261,,0.5003,435.5758,,0.5003,34.9706,,0.5003,57.3974,,0.5003,17.3586,,0.5003,53.5075,,0.5003,42.9373,,0.5003,123.0476,,
0.6004,76.8057,,0.6004,134.4263,,0.6004,11.4730,,0.6004,54.0791,,0.6004,11.1427,,0.6004,86.3383,,0.6004,1.2152,,0.6004,88.4647,,0.6004,19.7666,,0.6004,88.4647,,0.6004,22.1717,,0.6004,464.2028,,0.6004,22.1717,,0.6004,464.2028,,0.6004,87.5105,,0.6004,98.2637,,0.6004,27.2894,,0.6004,54.6873,,0.6004,43.6431,,0.6004,339.5169,,0.6004,31.6572,,0.6004,73.3574,,0.6004,6.9575,,0.6004,41.3396,,0.6004,25.5650,,0.6004,197.8196,,
0.7004,25.0017,,0.7004,109.1656,,0.7004,20.0150,,0.7004,27.5567,,0.7004,15.0353,,0.7004,153.5622,,0.7004,68.3365,,0.7004,47.4873,,0.7004,12.7123,,0.7004,47.4873,,0.7004,8.6779,,0.7004,703.3957,,0.7004,8.6779,,0.7004,703.3957,,0.7004,80.8004,,0.7004,33.3576,,0.7004,16.4824,,0.7004,40.8161,,0.7004,36.7267,,0.7004,292.6924,,0.7004,63.3833,,0.7004,134.6437,,0.7004,3.4664,,0.7004,46.6013,,0.7004,31.2383,,0.7004,174.7442,,
0.8005,108.7981,,0.8005,64.1967,,0.8005,26.8339,,0.8005,32.9970,,0.8005,21.3965,,0.8005,312.4423,,0.8005,69.1242,,0.8005,72.8794,,0.8005,15.2508,,0.8005,72.8794,,0.8005,27.7302,,0.8005,700.6743,,0.8005,27.7302,,0.8005,700.6743,,0.8005,66.5819,,0.8005,56.2841,,0.8005,23.2558,,0.8005,37.2817,,0.8005,45.9775,,0.8005,338.5896,,0.8005,46.8389,,0.8005,92.6918,,0.8005,17.7997,,0.8005,64.5611,,0.8005,39.5684,,0.8005,145.5508,,
0.9005,151.2545,,0.9005,77.1438,,0.9005,19.9492,,0.9005,31.2609,,0.9005,13.7391,,0.9005,175.9237,,0.9005,37.6340,,0.9005,130.6649,,0.9005,5.8701,,0.9005,130.6649,,0.9005,23.7505,,0.9005,460.4862,,0.9005,23.7505,,0.9005,460.4862,,0.9005,51.9077,,0.9005,52.6519,,0.9005,26.9512,,0.9005,40.2096,,0.9005,26.3804,,0.9005,510.6900,,0.9005,90.3092,,0.9005,40.4490,,0.9005,29.2976,,0.9005,36.7576,,0.9005,37.3610,,0.9005,119.4009,,
