Spectrum Export
Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (mm),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
0.2001,23.2341,,0.2001,304.3687,,0.2001,19.3246,,0.2001,55.5415,,0.2001,20.3172,,0.2001,414.1894,,0.2001,90.9626,,0.2001,0.6271,,0.2001,26.9003,,0.2001,304.3687,,0.2001,27.1353,,0.2001,397.6063,,0.2001,27.1353,,0.2001,397.6063,,0.2001,57.2556,,0.2001,123.2791,,0.2001,27.2201,,0.2001,73.4715,,0.2001,45.7484,,0.2001,220.5089,,0.2001,32.4018,,0.2001,71.5855,,0.2001,14.1913,,0.2001,26.8913,,0.2001,33.6123,,0.2001,199.1703,,
0.3002,29.3458,,0.3002,149.1001,,0.3002,23.2732,,0.3002,54.4704,,0.3002,27.1761,,0.3002,51.1544,,0.3002,139.9487,,0.3002,0.2900,,0.3002,25.9091,,0.3002,149.1001,,0.3002,22.5249,,0.3002,475.1555,,0.3002,22.5249,,0.3002,475.1555,,0.3002,70.7422,,0.3002,109.6356,,0.3002,17.7662,,0.3002,47.4334,,0.3002,36.6195,,0.3002,77.1871,,0.3002,49.2952,,0.3002,73.6737,,0.3002,19.6155,,0.3002,31.6454,,0.3002,29.6393,,0.3002,283.3590,,
0.4002,26.9092,,0.4002,119.0650,,0.4002,14.4144,,0.4002,64.7342,,0.4002,31.9061,,0.4002,428.9664,,0.4002,153.5373,,0.4002,0.0819,,0.4002,18.4403,,0.4002,119.0650,,0.4002,33.9540,,0.4002,588.5922,,0.4002,33.9540,,0.4002,588.5922,,0.4002,9.5815,,0.4002,74.7203,,0.4002,16.4148,,0.4002,4.9059,,0.4002,7.5987,,0.4002,231.3171,,0.4002,37.2896,,0.4002,68.0928,,0.4002,26.7908,,0.4002,37.9880,,0.4002,13.1303,,0.4002,173.8024,,
0.5003,9.5547,,0.5003,18.3260,,0.5003,15.0081,,0.5003,42.0818,,0.5003,30.4995,,0.5003,447.3387,,0.5003,103.1955,,0.5003,0.3323,,0.5003,27.5849,,0.5003,18.3260,,0.5003,19.5642,,0.5003,425.4158,,0.5003,19.5642,,0.5003,425.4158,,0.5003,14.8329,,0.5003,86.6055,,0.5003,3.8280,,0.5003,17.1346,,0.5003,17.8914,,0.5003,136.0981,,0.5003,35.2206,,0.5003,21.3933,,0.5003,23.2890,,0.5003,30.4547,,0.5003,23.7994,,0.5003,92.1349,,
0.6003,21.4608,,0.6003,103.9757,,0.6003,19.3141,,0.6003,7.2931,,0.6003,23.2858,,0.6003,833.6196,,0.6003,173.9057,,0.6003,0.2550,,0.6003,51.8164,,0.6003,103.9757,,0.6003,54.7116,,0.6003,544.0510,,0.6003,54.7116,,0.6003,544.0510,,0.6003,54.0151,,0.6003,48.2710,,0.6003,19.9809,,0.6003,26.2854,,0.6003,34.7986,,0.6003,255.8590,,0.6003,87.7523,,0.6003,17.4855,,0.6003,6.3513,,0.6003,35.4019,,0.6003,12.5645,,0.6003,42.6418,,
0.7004,38.5438,,0.7004,32.2856,,0.7004,37.7392,,0.7004,30.1943,,0.7004,16.4245,,0.7004,768.4621,,0.7004,197.1586,,0.7004,0.3621,,0.7004,18.6081,,0.7004,32.2856,,0.7004,65.8944,,0.7004,609.3591,,0.7004,65.8944,,0.7004,609.3591,,0.7004,76.0794,,0.7004,43.0862,,0.7004,31.7632,,0.7004,60.1958,,0.7004,18.9239,,0.7004,119.6717,,0.7004,71.8673,,0.7004,27.1839,,0.7004,13.9253,,0.7004,48.6851,,0.7004,26.2333,,0.7004,122.6486,,
0.8004,53.7218,,0.8004,44.4105,,0.8004,21.3373,,0.8004,86.6471,,0.8004,18.7700,,0.8004,464.5564,,0.8004,52.8428,,0.8004,0.5304,,0.8004,26.9559,,0.8004,44.4105,,0.8004,42.0499,,0.8004,486.1707,,0.8004,42.0499,,0.8004,486.1707,,0.8004,23.7191,,0.8004,34.1985,,0.8004,12.1246,,0.8004,75.2050,,0.8004,23.3517,,0.8004,185.7050,,0.8004,28.6794,,0.8004,85.3479,,0.8004,3.9415,,0.8004,54.3994,,0.8004,50.0594,,0.8004,172.9877,,
0.9005,35.1636,,0.9005,67.7845,,0.9005,21.7862,,0.9005,87.1642,,0.9005,18.4080,,0.9005,934.0411,,0.9005,96.6034,,0.9005,0.2536,,0.9005,23.2193,,0.9005,67.7845,,0.9005,45.9743,,0.9005,115.0670,,0.9005,45.9743,,0.9005,115.0670,,0.9005,16.6367,,0.9005,76.1037,,0.9005,9.8703,,0.9005,69.1717,,0.9005,33.4672,,0.9005,48.0417,,0.9005,14.0607,,0.9005,52.5999,,0.9005,7.0986,,0.9005,49.1585,,0.9005,30.2621,,0.9005,92.4529,,
1.0005,8.8792,,1.0005,172.7642,,1.0005,8.3085,,1.0005,62.2000,,1.0005,18.7553,,1.0005,412.0587,,1.0005,118.3164,,1.0005,0.4859,,1.0005,8.8628,,1.0005,172.7642,,1.0005,15.9657,,1.0005,126.9021,,1.0005,15.9657,,1.0005,126.9021,,1.0005,46.6843,,1.0005,102.4176,,1.0005,28.7691,,1.0005,42.9104,,1.0005,28.0430,,1.0005,217.2950,,1.0005,44.9064,,1.0005,50.1935,,1.0005,26.1996,,1.0005,22.7311,,1.0005,18.6306,,1.0005,54.4227,,
1.1006,27.2300,,1.1006,152.4459,,1.1006,27.9505,,1.1006,50.0112,,1.1006,12.9742,,1.1006,689.3470,,1.1006,73.5899,,1.1006,0.9477,,1.1006,31.7347,,1.1006,152.4459,,1.1006,16.9332,,1.1006,336.8189,,1.1006,16.9332,,1.1006,336.8189,,1.1006,36.5355,,1.1006,42.1445,,1.1006,15.1802,,1.1006,18.4198,,1.1006,19.8248,,1.1006,289.2134,,1.1006,58.5217,,1.1006,34.4088,,1.1006,12.2210,,1.1006,43.4166,,1.1006,35.4504,,1.1006,80.8606,,
