Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
120.0899,12.4489,86.9185,10.6177,36.0061,16.942,47.0224,3.0565,3.1216,27.7669,153.3066,10.69,46.3166,25.1562,4.5576,90.2497,26.7569,6.5293,15.7734,35.5672,9.3339
120.19,6.9705,40.6423,5.6964,24.8462,22.121,51.2292,3.098,3.9601,17.0381,96.9319,4.9098,15.7091,9.4483,8.6497,57.5868,24.5414,7.9493,27.7335,50.0502,30.5032
120.29,10.2192,27.2771,1.3597,14.1942,1.2255,12.8909,2.3829,3.5004,8.3672,35.5743,7.1417,54.6764,15.9615,9.8675,82.7573,25.5568,12.4861,23.8046,37.3125,18.9207
120.3901,14.2865,42.6201,6.7629,33.7453,22.8446,53.613,2.5528,3.7472,7.4214,38.7929,10.0601,45.091,17.785,3.4761,84.229,18.8141,9.0177,11.8278,27.8399,25.97
120.4902,13.3642,39.6548,8.2233,51.1853,25.1031,65.228,1.7507,2.9295,19.3503,84.7814,30.3827,121.9465,6.3103,6.817,136.5158,19.1963,7.4871,5.0869,40.2091,12.6933
120.5903,13.236,64.7161,4.7627,18.3928,16.3761,42.8501,1.7301,2.6375,27.2722,137.6888,24.5678,103.7891,13.0973,16.0264,94.7381,32.4517,13.5339,7.4897,53.0268,13.9389
120.6903,7.6772,77.0255,4.6083,9.5011,6.2832,20.6384,4.4865,2.9947,22.7884,115.5766,15.1226,71.1528,20.436,18.0719,51.1216,31.6762,7.9685,9.702,31.1773,43.299
120.7904,15.5767,91.4165,6.7838,23.4774,21.1974,65.1301,4.3991,3.8976,11.8727,78.2778,14.5951,81.6486,26.1261,30.6711,28.5385,19.1319,3.8441,21.8482,13.026,23.8981
120.8905,22.4926,135.825,6.0163,32.2549,32.5358,118.6429,4.4565,4.0141,3.1057,28.722,7.4999,52.4628,20.7139,46.3302,164.4444,5.2962,7.0095,11.6253,15.3268,32.9248
120.9906,20.2266,99.0898,5.0072,31.8074,25.9286,112.7901,6.0161,0.8841,24.2351,109.6139,13.8457,68.4135,9.7614,30.3438,130.4547,9.3575,11.206,6.4765,23.6692,27.752
121.0906,14.4832,86.9256,8.8618,53.4215,7.8964,37.8597,6.4949,3.5856,37.0364,179.0343,12.8079,40.9829,11.3401,13.0837,85.3636,14.8711,15.0918,1.2701,3.7284,13.9539
