Red ROI - X,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Yellow ROI - X,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
1.0006,214.4426,,1.0006,15.9056,,1.0006,59.7788,,1.0006,54.8589,,1.0006,469.5441,,1.0006,60.0641,,1.0006,14.1932,,1.0006,14.7404,,1.0006,1623.4290,,1.0006,21.3491,,1.0006,1625.1900,,1.0006,46.1563,,1.0006,150.5626,,1.0006,17.4574,,1.0006,47.2533,,1.0006,13.8690,,1.0006,199.2663,,1.0006,48.9634,,1.0006,152.4431,,1.0006,31.4359,,1.0006,25.5058,,1.0006,43.1009,,1.0006,33.1314,,
1.1007,115.7988,,1.1007,11.1904,,1.1007,12.0190,,1.1007,43.7871,,1.1007,226.4618,,1.1007,86.8548,,1.1007,15.4472,,1.1007,19.5783,,1.1007,1724.9250,,1.1007,26.1722,,1.1007,1730.9700,,1.1007,25.6747,,1.1007,109.0231,,1.1007,17.0114,,1.1007,37.3730,,1.1007,8.7873,,1.1007,328.3086,,1.1007,78.0885,,1.1007,83.7238,,1.1007,12.3798,,1.1007,9.0949,,1.1007,38.4028,,1.1007,156.0023,,
1.2007,126.0155,,1.2007,15.5619,,1.2007,55.8870,,1.2007,26.5465,,1.2007,83.1252,,1.2007,112.3858,,1.2007,35.2279,,1.2007,19.7169,,1.2007,1387.1840,,1.2007,3.6613,,1.2007,1391.7700,,1.2007,34.7371,,1.2007,121.7494,,1.2007,10.5740,,1.2007,41.4997,,1.2007,16.6100,,1.2007,245.8143,,1.2007,65.7002,,1.2007,24.7624,,1.2007,7.2669,,1.2007,37.7518,,1.2007,15.2929,,1.2007,154.9287,,
1.3008,142.6698,,1.3008,6.9580,,1.3008,67.1562,,1.3008,13.7447,,1.3008,184.3773,,1.3008,125.1884,,1.3008,52.5229,,1.3008,15.9749,,1.3008,1215.9320,,1.3008,10.1839,,1.3008,1215.5690,,1.3008,64.3622,,1.3008,142.8975,,1.3008,14.0476,,1.3008,54.2830,,1.3008,25.8149,,1.3008,370.1864,,1.3008,34.3313,,1.3008,55.6453,,1.3008,2.1917,,1.3008,39.0522,,1.3008,34.1433,,1.3008,133.2933,,
1.4008,38.8397,,1.4008,26.4952,,1.4008,37.1298,,1.4008,12.9979,,1.4008,225.9039,,1.4008,117.2534,,1.4008,48.8119,,1.4008,5.9747,,1.4008,997.4359,,1.4008,22.3194,,1.4008,998.1863,,1.4008,84.4851,,1.4008,80.4135,,1.4008,8.5666,,1.4008,60.2331,,1.4008,17.2596,,1.4008,406.3105,,1.4008,37.3993,,1.4008,70.6478,,1.4008,19.9096,,1.4008,36.6921,,1.4008,64.2508,,1.4008,292.5910,,
1.5009,38.2360,,1.5009,24.5047,,1.5009,30.5906,,1.5009,30.0830,,1.5009,216.1712,,1.5009,66.9480,,1.5009,28.3934,,1.5009,7.3601,,1.5009,373.1745,,1.5009,6.0799,,1.5009,364.7736,,1.5009,87.5633,,1.5009,125.2423,,1.5009,26.9740,,1.5009,52.1538,,1.5009,16.7464,,1.5009,112.1809,,1.5009,12.8360,,1.5009,59.7036,,1.5009,24.5966,,1.5009,47.1499,,1.5009,52.8413,,1.5009,258.4550,,
1.6009,53.2929,,1.6009,14.3926,,1.6009,22.0143,,1.6009,44.7801,,1.6009,257.0070,,1.6009,53.8615,,1.6009,1.5555,,1.6009,4.3638,,1.6009,452.0569,,1.6009,15.0208,,1.6009,450.4950,,1.6009,97.8062,,1.6009,99.1192,,1.6009,23.1272,,1.6009,50.1399,,1.6009,18.6398,,1.6009,144.6643,,1.6009,35.4136,,1.6009,101.1415,,1.6009,4.5847,,1.6009,64.8197,,1.6009,34.9075,,1.6009,210.3600,,
1.7010,92.1245,,1.7010,9.5905,,1.7010,49.2520,,1.7010,37.9258,,1.7010,518.8125,,1.7010,85.1232,,1.7010,12.3478,,1.7010,23.8643,,1.7010,1545.5640,,1.7010,25.2880,,1.7010,1551.4300,,1.7010,52.4452,,1.7010,105.7223,,1.7010,13.7629,,1.7010,67.2044,,1.7010,4.6516,,1.7010,20.0383,,1.7010,71.0459,,1.7010,108.5481,,1.7010,9.4924,,1.7010,69.8815,,1.7010,28.6734,,1.7010,265.7818,,
1.8011,137.5449,,1.8011,6.3267,,1.8011,53.5535,,1.8011,6.7570,,1.8011,626.7791,,1.8011,139.2382,,1.8011,14.0422,,1.8011,38.7351,,1.8011,1743.2860,,1.8011,33.1117,,1.8011,1749.1010,,1.8011,21.8660,,1.8011,101.5035,,1.8011,13.1646,,1.8011,26.3307,,1.8011,32.7773,,1.8011,180.0022,,1.8011,24.0224,,1.8011,33.9938,,1.8011,7.8711,,1.8011,39.3043,,1.8011,29.2709,,1.8011,236.2446,,
1.9011,76.2031,,1.9011,19.5027,,1.9011,57.8767,,1.9011,43.0721,,1.9011,494.2975,,1.9011,179.4747,,1.9011,28.9411,,1.9011,15.0649,,1.9011,697.9313,,1.9011,7.1821,,1.9011,708.0201,,1.9011,29.6912,,1.9011,77.1832,,1.9011,8.0007,,1.9011,25.9784,,1.9011,21.4082,,1.9011,134.7049,,1.9011,44.5567,,1.9011,92.8518,,1.9011,22.6779,,1.9011,10.9995,,1.9011,29.5027,,1.9011,214.5838,,
