Spectrum Export
Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,Purple ROI - X,,,Purple ROI - Y,,,Red ROI - X,,,Red ROI - Y,,,Blue ROI - X,,,Blue ROI - Y,,,Green ROI - X,,,Green ROI - Y,,,Orange ROI - X,,,Orange ROI - Y,,,Yellow ROI - X,,,Yellow ROI - Y,,,Pink ROI - X,,,Pink ROI - Y,,,
Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (mm),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,Amplitude Units,Pk-Pk Disp (microns),,
Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,Frequency (Hz),Amplitude,,
0.2001,119.1312,,0.2001,0.9782,,0.2001,22.4459,,0.2001,35.3066,,0.2001,19.7454,,0.2001,286.8156,,0.2001,69.8242,,0.2001,281.5894,,0.2001,21.9507,,0.2001,490.9462,,0.2001,18.5865,,0.2001,260.8736,,0.2001,18.5865,,0.2001,260.8736,,0.2001,64.6870,,0.2001,140.2248,,0.2001,8.8598,,0.2001,17.7813,,0.2001,26.4981,,0.2001,241.4021,,0.2001,36.1435,,0.2001,100.7858,,0.2001,25.0065,,0.2001,26.1458,,0.2001,44.1949,,0.2001,80.1167,,
0.3002,83.7575,,0.3002,0.5397,,0.3002,29.5142,,0.3002,18.0666,,0.3002,19.4546,,0.3002,619.1340,,0.3002,79.8398,,0.3002,809.3075,,0.3002,27.3964,,0.3002,200.7965,,0.3002,24.6048,,0.3002,106.7100,,0.3002,24.6048,,0.3002,106.7100,,0.3002,99.6496,,0.3002,92.3556,,0.3002,21.4561,,0.3002,34.3703,,0.3002,43.1303,,0.3002,168.6015,,0.3002,7.3950,,0.3002,59.8409,,0.3002,43.9657,,0.3002,28.5341,,0.3002,6.9126,,0.3002,84.7063,,
0.4002,62.1694,,0.4002,0.5780,,0.4002,26.7581,,0.4002,27.9923,,0.4002,36.3262,,0.4002,472.7831,,0.4002,54.1446,,0.4002,1376.3470,,0.4002,27.8951,,0.4002,66.3612,,0.4002,34.9302,,0.4002,61.3990,,0.4002,34.9302,,0.4002,61.3990,,0.4002,63.0776,,0.4002,76.6814,,0.4002,20.8275,,0.4002,30.2036,,0.4002,43.9687,,0.4002,72.2814,,0.4002,47.6336,,0.4002,101.1891,,0.4002,34.3534,,0.4002,10.9067,,0.4002,16.9669,,0.4002,402.2610,,
0.5003,65.0197,,0.5003,0.2575,,0.5003,24.6230,,0.5003,39.6966,,0.5003,21.9927,,0.5003,301.8511,,0.5003,61.9852,,0.5003,311.2358,,0.5003,13.6697,,0.5003,337.8856,,0.5003,35.1164,,0.5003,205.3831,,0.5003,35.1164,,0.5003,205.3831,,0.5003,31.0365,,0.5003,61.7150,,0.5003,19.1422,,0.5003,23.4313,,0.5003,36.6824,,0.5003,106.1953,,0.5003,52.9006,,0.5003,140.7447,,0.5003,7.0427,,0.5003,48.0583,,0.5003,29.2191,,0.5003,458.0016,,
0.6004,44.1418,,0.6004,0.4870,,0.6004,14.6855,,0.6004,62.3159,,0.6004,11.5525,,0.6004,397.6830,,0.6004,111.3025,,0.6004,374.7857,,0.6004,17.5408,,0.6004,364.2957,,0.6004,27.6611,,0.6004,210.8908,,0.6004,27.6611,,0.6004,210.8908,,0.6004,51.5846,,0.6004,71.7598,,0.6004,21.5769,,0.6004,65.7538,,0.6004,17.2285,,0.6004,202.0435,,0.6004,35.1055,,0.6004,82.6514,,0.6004,20.7921,,0.6004,65.9506,,0.6004,78.5396,,0.6004,844.4493,,
0.7004,142.3601,,0.7004,0.3200,,0.7004,24.2661,,0.7004,30.3365,,0.7004,29.2677,,0.7004,499.1082,,0.7004,133.6328,,0.7004,567.7621,,0.7004,23.3614,,0.7004,275.8026,,0.7004,30.3208,,0.7004,150.2166,,0.7004,30.3208,,0.7004,150.2166,,0.7004,86.7928,,0.7004,79.7323,,0.7004,12.6277,,0.7004,77.3564,,0.7004,24.1353,,0.7004,328.1256,,0.7004,7.0177,,0.7004,33.2942,,0.7004,14.8981,,0.7004,40.1806,,0.7004,97.9797,,0.7004,450.9569,,
0.8005,165.1389,,0.8005,0.6596,,0.8005,18.6538,,0.8005,29.9368,,0.8005,25.7283,,0.8005,354.9456,,0.8005,131.0993,,0.8005,919.7347,,0.8005,23.6512,,0.8005,437.9361,,0.8005,9.7948,,0.8005,161.4943,,0.8005,9.7948,,0.8005,161.4943,,0.8005,76.6189,,0.8005,130.8683,,0.8005,14.2769,,0.8005,43.5579,,0.8005,30.1122,,0.8005,279.9373,,0.8005,15.6497,,0.8005,40.3406,,0.8005,1.5200,,0.8005,7.3705,,0.8005,50.6018,,0.8005,740.2289,,
0.9005,58.1014,,0.9005,0.7415,,0.9005,15.2374,,0.9005,48.2316,,0.9005,10.7301,,0.9005,262.9006,,0.9005,112.1514,,0.9005,351.8217,,0.9005,16.7757,,0.9005,362.4637,,0.9005,21.8679,,0.9005,259.9685,,0.9005,21.8679,,0.9005,259.9685,,0.9005,51.8151,,0.9005,145.8795,,0.9005,14.4190,,0.9005,21.0476,,0.9005,17.9652,,0.9005,207.5684,,0.9005,32.2627,,0.9005,61.1205,,0.9005,14.4628,,0.9005,29.8652,,0.9005,26.4200,,0.9005,774.5441,,
